algoritmo,fold,cutoff,accuracy,f1,kappa,precision,recall,specificity
McFeeters,1,-0.56,0.5117558738457888,0.6714848448979704,0.0235117476915776,0.5059600973195637,0.9979707974847708,0.02554095020680683
McFeeters,1,-0.55,0.5125352348924646,0.6716680513475494,0.025070469784929106,0.5063651925346097,0.9972057554074565,0.02786471437747258
McFeeters,1,-0.54,0.5132675478969525,0.6716799933768896,0.026535095793905006,0.5067519737499584,0.9957615850689969,0.03077351072490805
McFeeters,1,-0.53,0.5139978153343888,0.671499481507086,0.027995630668777638,0.507145706415159,0.9934541854347444,0.034541445234033324
McFeeters,1,-0.52,0.5146933081319472,0.6710727347846461,0.029386616263894494,0.5075317659542788,0.990115820006464,0.039270796257430525
McFeeters,1,-0.51,0.5154624413433648,0.6703114387199501,0.03092488268672966,0.5079729390495759,0.985145092070973,0.04577979061575659
McFeeters,1,-0.5,0.5168779737431013,0.6695498389583642,0.03375594748620259,0.5087722282586739,0.9788897480270505,0.054866199459152075
McFeeters,1,-0.49,0.5190544570860488,0.6687676628788626,0.03810891417209761,0.5100077139437591,0.9710429528169504,0.06706596135514727
McFeeters,1,-0.48,0.5233010542852584,0.6688879100893705,0.04660210857051683,0.5123982593893059,0.962991600901686,0.08361050766883088
McFeeters,1,-0.47,0.5301741595787768,0.669944042237046,0.060348319157553565,0.51633732121537,0.9536474506097835,0.10670086854777013
McFeeters,1,-0.45999999999999996,0.5404940453543127,0.6724267413289003,0.08098809070862534,0.5224279667545839,0.943251878853337,0.1377362118552884
McFeeters,1,-0.44999999999999996,0.5545859567730771,0.6764931360313781,0.10917191354615419,0.5311268660372472,0.9314162278925341,0.17775568565362004
McFeeters,1,-0.43999999999999995,0.5733601711730509,0.68242502497137425,0.14672034234610187,0.5434891746964137,0.916790423473291,0.22992991887281072
McFeeters,1,-0.42999999999999994,0.5963421169982531,0.6900024035327219,0.19268423399650625,0.5600537574082197,0.8984744160928851,0.29420981790362105
McFeeters,1,-0.41999999999999993,0.6227258408303366,0.6989529009458985,0.2454516816606731,0.5814689283949008,0.875932267183786,0.36951941447688713
McFeeters,1,-0.41000000000000003,0.6504555477824008,0.7081411137774665,0.30091109556480156,0.6078304315445648,0.848104373013243,0.4528067225515585
McFeeters,1,-0.4,0.6778129615310661,0.7168373079723498,0.35562592306213214,0.6393920539826301,0.8156289505013685,0.5399969725607636
McFeeters,1,-0.39,0.700985145092071,0.722716365533267,0.401970290184142,0.6737508134566959,0.7793569555416457,0.6226133346424962
McFeeters,1,-0.38,0.7175296914057546,0.7237418851466925,0.43505938281150924,0.7081675958406415,0.7400166100044593,0.6950427728070498
McFeeters,1,-0.37,0.7277227520240886,0.7196753350686985,0.4554455040481773,0.7415938575589092,0.6990152640213394,0.7564302400268378
McFeeters,1,-0.36,0.73180979499327,0.7102700887036537,0.46361958998654007,0.772297164166911,0.6574657060683792,0.806153883918161
McFeeters,1,-0.35,0.7309117910575991,0.6962208597457481,0.46182358211519814,0.7992619456639308,0.6167139192655596,0.8451096628496385
McFeeters,1,-0.33999999999999997,0.7266242825173567,0.6786462278328825,0.45324856503471334,0.8231025874337976,0.5773244801191338,0.8759240849155795
McFeeters,1,-0.32999999999999996,0.719151826077707,0.6573100174220377,0.438303652155414,0.8429175922310209,0.5386919007818157,0.8996117513735983
McFeeters,1,-0.31999999999999995,0.7107936391046962,0.6351488751141918,0.42158727820939235,0.8601223134719552,0.5034631450184306,0.9181241331909619
McFeeters,1,-0.30999999999999994,0.7008624110689724,0.6105653363017328,0.4017248221379448,0.8745575221238938,0.46899534019825634,0.9327294819396885
McFeeters,1,-0.29999999999999993,0.6904218368373897,0.5850567684871151,0.38084367367477934,0.8869205958635367,0.43649537088176216,0.9443483027930173
McFeeters,1,-0.2899999999999999,0.6800733131231309,0.5596425333506022,0.3601466262462618,0.8974849866799115,0.4065891805867505,0.9535574456595113
McFeeters,1,-0.28,0.6700500345700832,0.534304950860944,0.34010006914016633,0.9077727526904927,0.3785608208451465,0.9615392482950199
McFeeters,1,-0.27,0.6595583211622094,0.5077419526579965,0.3191166423244187,0.9164015289017958,0.35115022235313853,0.9679664199712802
