algoritmo,cutoff,accuracy,f1,kappa,precision,recall,specificity
XGB,0.75,0.8775237205101906,0.8655298442938867,0.7550474395892051,0.9594854104166431,0.7883369982818312,0.9667104374142038
XGB,0.76,0.8754413335821289,0.8626590964516809,0.7508826670077793,0.9613009812762425,0.7823803102740614,0.9685023542854599
XGB,0.77,0.8731216605329553,0.8594809425518374,0.7462433211749442,0.9630077328032988,0.7760554171842802,0.9701879017369722
XGB,0.78,0.8706772071948441,0.8561164713710773,0.741354414898467,0.96473335325273335,0.7694850558809135,0.9718693577029002
XGB,0.79,0.8681857068146003,0.8526601140970814,0.7363714144852952,0.9664909233220136,0.7628205995308699,0.9735508140035717
XGB,0.8,0.8656757961091214,0.849168875078091,0.7313515937894371,0.9681363424415734,0.7562420568463665,0.9751095360300789
XGB,0.81,0.862754726585257,0.845108828368744,0.7255094553410814,0.9697897422072741,0.7488371056252708,0.9766723490400551
XGB,0.8200000000000001,0.8598009278965099,0.8409362096963293,0.7196018579026839,0.971672594342454,0.7412112315056029,0.9783906252798639
XGB,0.8300000000000001,0.8563132356130951,0.8360381071386654,0.7126264737534795,0.973383886137377,0.732660760810736,0.9799657119934198
XGB,0.8400000000000001,0.852764177134075,0.8310108493576541,0.7055283572252106,0.9750647663589777,0.7240448336271922,0.9814835230136348
XGB,0.85,0.8488755545579485,0.8254756759402386,0.6977511108858281,0.9767018248793115,0.7148029598629013,0.982948149909779
XGB,0.86,0.8446821427505484,0.8194774592831703,0.689364286244116,0.9782121078016807,0.7050701513451573,0.984294132762055
XGB,0.87,0.8403025837681901,0.8131408162184997,0.680605166893763,0.9797739095998002,0.6949527744810127,0.9856523899037118
XGB,0.88,0.8354586805043964,0.8060708362431843,0.6709173602985267,0.9813343663529301,0.6839271669840058,0.9869901907890499
XGB,0.89,0.8302588486028982,0.7984087654425145,0.6605176983400352,0.9828175094245656,0.6722715276134217,0.9882461699128613
XGB,0.9,0.8243492044783698,0.7895988702148988,0.6486984085157758,0.9843252293758381,0.6591962589011037,0.9895021496224737
XGB,0.91,0.817697021351,0.7795259024836718,0.6353940409492855,0.9859515795397085,0.6445786367825629,0.9908154032680239
XGB,0.92,0.8099627312531716,0.7676927515998911,0.6199254606524457,0.987272334614339,0.6280218146887824,0.9919036456257946
XGB,0.93,0.8008988235341395,0.7535399842194159,0.6017976459369275,0.9886911128039062,0.6087607558648177,0.9930368899733264
XGB,0.9400000000000001,0.7905932574348593,0.73702209585604594,0.581186514188378,0.990362894853235,0.5868977372405981,0.9942887766073232
XGB,0.9500000000000001,0.7775732253894484,0.7156147082671293,0.5551464516447119,0.9919002896448612,0.5597162484660454,0.9954302032565364
XGB,0.9600000000000001,0.7604416035492114,0.6863621297488098,0.5208832020593247,0.9936027979651851,0.5242583873996249,0.996624813778763
XGB,0.97,0.737613072323274,0.6453484980550315,0.47522613250861173,0.9953350207526216,0.4774639828363439,0.9977621495281932
XGB,0.98,0.69943460264417,0.5709615198539556,0.3988691879730428,0.997176948535437,0.4000024342544164,0.9988667564056409
XGB,0.99,0.5976656252235129,0.32654821408659074,0.19533115673277243,0.9996913456806172,0.19539256018323944,0.9999386329047607
